season,team_id,team_name,player_id,Name,position_code,POS,G,GS,GO,airOuts,R,2B,3B,HR,K,BB,IBB,H,HBP,AVG,AB,OBP,SLG,OPS,CS,SB,SB%,GIDP,numP,ERA,IP,W,L,SV,SVOpp,HLD,BS,ER,WHIP,BF,Outs,GPitched,CG,SHO,Str,Str%,HBP,BK,WP,pickOffs,TB,GO/FO,W%,P/IP,GF,K/BB,K/9,BB/9,H/9,R/9,HR/9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,SF,team,QS
2024,673,Aguilas de Mexicali,676362,Gabriel Ponce,1,RP,2,0,2,2,0,0,0,0,1,1,0,1,0,0.2,5,0.333,0.2,0.533,0,0,,0,21,0.0,1.2,0,0,0,0,1,0,0,1.2,7,5,2,0,0,12,0.57,0,0,0,0,1,1.0,,12.6,1,1.0,5.4,5.4,5.4,0.0,0.0,0,0,0,1,0,MXC,0
2024,673,Aguilas de Mexicali,644425,Jake Sanchez,1,RP,15,0,13,15,1,1,0,0,16,6,0,7,0,0.14,50,0.232,0.16,0.392,0,3,100.0,1,256,0.6,15.0,0,0,11,11,0,0,1,0.87,57,45,15,0,0,157,0.61,0,0,0,0,8,0.87,,17.07,13,2.67,9.6,3.6,4.2,0.6,0.0,0,0,0,1,0,MXC,0
2024,673,Aguilas de Mexicali,672911,Jesus Cruz,1,RP,11,0,3,14,1,0,0,0,15,5,1,3,0,0.088,34,0.2,0.088,0.288,1,0,0.0,0,203,0.82,11.0,3,0,0,1,6,1,1,0.73,40,33,11,0,0,127,0.63,0,0,1,0,3,0.21,1.0,18.45,0,3.0,12.27,4.09,2.45,0.82,0.0,0,0,0,0,1,MXC,0
2024,673,Aguilas de Mexicali,622747,Eduardo Vera,1,SP,6,6,35,25,9,2,1,3,36,6,0,18,1,0.164,110,0.212,0.282,0.494,1,0,0.0,1,479,2.53,32.0,1,2,0,0,0,0,9,0.75,121,96,6,0,0,318,0.66,1,0,1,0,31,1.4,0.333,14.97,0,6.0,10.13,1.69,5.06,2.53,0.84,0,0,0,3,1,MXC,2
2024,673,Aguilas de Mexicali,683138,Fernando Lozano,1,SP,6,6,39,32,10,6,0,2,23,8,0,28,1,0.231,121,0.282,0.331,0.613,1,3,75.0,3,500,2.76,32.2,3,1,0,0,0,0,10,1.1,131,98,6,0,0,303,0.61,1,0,0,0,40,1.22,0.75,15.31,0,2.88,6.34,2.2,7.71,2.76,0.55,0,0,0,0,1,MXC,1
2024,673,Aguilas de Mexicali,681871,Eli Villalobos,1,RP,17,0,13,13,4,3,0,0,11,4,0,10,0,0.217,46,0.28,0.283,0.563,0,0,,1,197,2.84,12.2,2,0,0,0,5,0,4,1.11,51,38,17,0,0,123,0.62,0,0,1,0,13,1.0,1.0,15.55,2,2.75,7.82,2.84,7.11,2.84,0.0,11,3,0,1,0,MXC,0
2024,673,Aguilas de Mexicali,547862,David Reyes,1,SP,6,6,32,38,12,5,0,1,32,6,0,31,2,0.242,128,0.283,0.305,0.588,1,1,50.0,2,521,2.91,34.0,3,1,0,0,0,0,11,1.09,141,102,6,0,0,339,0.65,2,0,1,0,39,0.84,0.75,15.32,0,5.33,8.47,1.59,8.21,3.18,0.26,0,0,0,3,2,MXC,1
2024,673,Aguilas de Mexicali,691928,Patricio Ress,1,RP,4,0,1,4,1,1,0,0,2,1,0,5,0,0.417,12,0.462,0.5,0.962,1,0,0.0,0,47,3.0,3.0,0,1,0,0,0,0,1,2.0,13,9,4,0,0,29,0.62,0,0,0,0,6,0.25,0.0,15.67,2,2.0,6.0,3.0,15.0,3.0,0.0,5,1,0,0,0,MXC,0
2024,673,Aguilas de Mexicali,667904,Jose Isidro Marquez,1,RP,13,0,13,6,5,1,0,0,12,8,0,9,2,0.237,38,0.396,0.263,0.659,1,1,50.0,1,199,3.27,11.0,0,1,0,0,3,0,4,1.55,50,33,13,0,0,112,0.56,2,0,2,0,10,2.17,0.0,18.09,2,1.5,9.82,6.55,7.36,4.09,0.0,5,2,0,2,0,MXC,0
2024,673,Aguilas de Mexicali,690909,Daniel Cruz,1,RP,9,0,11,9,4,0,0,1,11,4,1,7,0,0.194,36,0.268,0.278,0.546,1,0,0.0,0,165,3.38,10.2,1,0,0,1,0,1,4,1.03,42,32,9,0,0,108,0.65,0,0,1,0,10,1.22,1.0,15.47,2,2.75,9.28,3.38,5.91,3.38,0.84,8,4,0,1,1,MXC,0
2024,673,Aguilas de Mexicali,805321,Trevor Kuncl,1,RP,13,0,9,10,6,1,0,1,16,5,0,7,0,0.171,41,0.255,0.268,0.523,0,1,100.0,0,219,3.75,12.0,0,0,0,0,9,0,5,1.0,47,36,13,0,0,139,0.63,0,0,0,0,11,0.9,,18.25,0,3.2,12.0,3.75,5.25,4.5,0.75,0,0,0,0,1,MXC,0
2024,673,Aguilas de Mexicali,810862,Angel Lopez,1,RP,12,0,10,6,5,3,0,1,11,4,0,11,2,0.289,38,0.386,0.447,0.833,0,1,100.0,0,196,4.0,9.0,0,1,0,0,3,0,4,1.67,44,27,12,0,0,117,0.6,2,1,2,0,17,1.67,0.0,21.78,1,2.75,11.0,4.0,11.0,5.0,1.0,10,3,0,0,0,MXC,0
2024,673,Aguilas de Mexicali,623985,Manuel Chavez,1,SP,5,5,17,16,10,1,0,4,20,11,0,15,1,0.227,66,0.346,0.424,0.77,0,2,100.0,3,338,4.34,18.2,0,1,0,0,0,0,9,1.39,80,56,5,0,0,189,0.56,1,0,0,0,28,1.06,0.0,18.11,0,1.82,9.64,5.3,7.23,4.82,1.93,0,0,0,2,0,MXC,0
2024,673,Aguilas de Mexicali,675132,Yamil Castillo,1,RP,6,0,11,7,5,1,0,1,4,3,0,6,1,0.214,28,0.313,0.357,0.67,0,0,,0,112,4.91,7.1,1,0,0,0,0,0,4,1.23,32,22,6,0,0,67,0.6,1,0,2,0,10,1.57,1.0,15.27,2,1.33,4.91,3.68,7.36,6.14,1.23,8,5,0,0,0,MXC,0
2024,673,Aguilas de Mexicali,661309,Adrián Martínez,1,SP,4,4,20,13,9,6,1,0,13,4,0,17,1,0.27,63,0.324,0.397,0.721,1,6,85.7,1,270,4.96,16.1,1,1,0,0,0,0,9,1.29,68,49,4,0,0,170,0.63,1,0,2,0,25,1.54,0.5,16.53,0,3.25,7.16,2.2,9.37,4.96,0.0,0,0,0,0,0,MXC,0
2024,673,Aguilas de Mexicali,677076,Clayton Andrews,1,RP,12,0,11,6,5,2,0,0,11,4,0,5,1,0.156,32,0.27,0.219,0.489,0,3,100.0,0,162,5.0,9.0,0,1,0,1,3,1,5,1.0,38,27,12,0,0,102,0.63,1,0,1,0,7,1.83,0.0,18.0,1,2.75,11.0,4.0,5.0,5.0,0.0,5,2,0,1,0,MXC,0
