season,team_id,team_name,player_id,Name,position_code,POS,G,GS,GO,airOuts,R,2B,3B,HR,K,BB,IBB,H,HBP,AVG,AB,OBP,SLG,OPS,CS,SB,SB%,GIDP,numP,ERA,IP,W,L,SV,SVOpp,HLD,BS,ER,WHIP,BF,Outs,GPitched,CG,SHO,Str,Str%,HBP,BK,WP,pickOffs,TB,GO/FO,W%,P/IP,GF,K/BB,K/9,BB/9,H/9,R/9,HR/9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,SF,team,QS
2024,673,Aguilas de Mexicali,672911,Jesus Cruz,1,RP,8,0,1,10,0,0,0,0,12,3,0,2,0,0.08,25,0.179,0.08,0.259,1,0,0.0,0,143,0.0,8.0,1,0,0,0,5,0,0,0.63,28,24,8,0,0,91,0.64,0,0,0,0,2,0.1,1.0,17.88,0,4.0,13.5,3.38,2.25,0.0,0.0,0,0,0,0,0,MXC,0
2024,673,Aguilas de Mexicali,683138,Fernando Lozano,1,SP,3,3,20,16,1,4,0,1,11,4,0,10,1,0.175,57,0.242,0.298,0.54,0,1,100.0,1,247,0.57,15.2,2,0,0,0,0,0,1,0.89,62,47,3,0,0,146,0.59,1,0,0,0,17,1.25,1.0,15.77,0,2.75,6.32,2.3,5.74,0.57,0.57,0,0,0,0,0,MXC,0
2024,673,Aguilas de Mexicali,644425,Jake Sanchez,1,RP,7,0,8,8,1,0,0,0,4,3,0,5,0,0.208,24,0.296,0.208,0.504,0,1,100.0,1,117,1.29,7.0,0,0,5,5,0,0,1,1.14,28,21,7,0,0,70,0.6,0,0,0,0,5,1.0,,16.71,6,1.33,5.14,3.86,6.43,1.29,0.0,0,0,0,1,0,MXC,0
2024,673,Aguilas de Mexicali,622747,Eduardo Vera,1,SP,3,3,14,15,3,2,0,1,19,2,0,7,0,0.132,53,0.161,0.226,0.387,1,0,0.0,1,231,1.69,16.0,1,0,0,0,0,0,3,0.56,57,48,3,0,0,153,0.66,0,0,0,0,12,0.93,1.0,14.44,0,9.5,10.69,1.13,3.94,1.69,0.56,0,0,0,1,1,MXC,1
2024,673,Aguilas de Mexicali,810862,Angel Lopez,1,RP,5,0,5,1,1,2,0,0,6,1,0,3,1,0.2,15,0.294,0.333,0.627,0,0,,0,68,2.25,4.0,0,0,0,0,0,0,1,1.0,17,12,5,0,0,44,0.65,1,0,1,0,5,5.0,,17.0,1,6.0,13.5,2.25,6.75,2.25,0.0,5,1,0,0,0,MXC,0
2024,673,Aguilas de Mexicali,681871,Eli Villalobos,1,RP,10,0,6,8,2,2,0,0,4,3,0,6,0,0.25,24,0.333,0.333,0.666,0,0,,1,101,2.7,6.2,2,0,0,0,3,0,2,1.35,27,20,10,0,0,64,0.63,0,0,1,0,8,0.75,1.0,15.15,2,1.33,5.4,4.05,8.1,2.7,0.0,9,2,0,0,0,MXC,0
2024,673,Aguilas de Mexicali,690909,Daniel Cruz,1,RP,3,0,3,3,1,0,0,1,3,1,1,2,0,0.182,11,0.25,0.455,0.705,0,0,,0,38,3.0,3.0,0,0,0,0,0,0,1,1.0,12,9,3,0,0,25,0.66,0,0,0,0,5,1.0,,12.67,2,3.0,9.0,3.0,6.0,3.0,3.0,3,2,0,0,0,MXC,0
2024,673,Aguilas de Mexicali,667904,Jose Isidro Marquez,1,RP,7,0,7,2,3,1,0,0,7,3,0,7,2,0.318,22,0.444,0.364,0.808,1,0,0.0,0,97,3.0,6.0,0,1,0,0,2,0,2,1.67,28,18,7,0,0,59,0.61,2,0,1,0,8,3.5,0.0,16.17,1,2.33,10.5,4.5,10.5,4.5,0.0,4,1,0,1,0,MXC,0
2024,673,Aguilas de Mexicali,547862,David Reyes,1,SP,3,3,13,13,6,4,0,0,23,2,0,18,0,0.281,64,0.294,0.344,0.638,1,1,50.0,2,271,3.18,17.0,1,1,0,0,0,0,6,1.18,69,51,3,0,0,183,0.68,0,0,0,0,22,1.0,0.5,15.94,0,11.5,12.18,1.06,9.53,3.18,0.0,0,0,0,1,2,MXC,1
2024,673,Aguilas de Mexicali,671760,Mario Jimenez,1,RP,4,0,4,4,1,0,0,0,1,1,0,3,0,0.273,11,0.308,0.273,0.581,0,0,,0,52,3.38,2.2,0,0,0,0,0,0,1,1.5,13,8,4,0,0,31,0.6,0,0,1,0,3,1.0,,19.5,1,1.0,3.38,3.38,10.13,3.38,0.0,3,2,0,0,1,MXC,0
